rule,column,frozen,rerun,abs_diff
fixed 0.003,pose_rmse_mean,0.3253496615504861,0.3253496615504924,6.2727600891321345e-15
fixed 0.003,align_rmse_mean,0.219265915426164,0.21926591542616558,1.582067810090848e-15
fixed 0.003,n_delivered_mean,48.0,48.0,0.0
fixed 0.003,gamma_mean,0.003,0.003,0.0
drift derived,pose_rmse_mean,0.4252481469086615,0.4252481469086587,2.7755575615628914e-15
drift derived,align_rmse_mean,0.2229249027145201,0.2229249027145201,0.0
drift derived,n_delivered_mean,46.8,46.8,0.0
drift derived,gamma_mean,0.0332710646668773,0.033271064666877376,7.632783294297951e-17
drift adaptive,pose_rmse_mean,0.4241390743102877,0.42413907431029124,3.552713678800501e-15
drift adaptive,align_rmse_mean,0.2503137320485596,0.2503137320485613,1.6653345369377348e-15
drift adaptive,n_delivered_mean,37.4,37.4,0.0
drift adaptive,gamma_mean,0.0639075166835416,0.06390751668354169,9.71445146547012e-17
deferral derived,pose_rmse_mean,0.3220461525111561,0.3220461525111542,1.887379141862766e-15
deferral derived,align_rmse_mean,0.2006280582679389,0.20062805826794355,4.6629367034256575e-15
deferral derived,n_delivered_mean,48.0,48.0,0.0
deferral derived,gamma_mean,0.0044719172939351,0.004471917293935131,3.122502256758253e-17
deferral adaptive,pose_rmse_mean,0.3835375654640324,0.3835375654640334,9.992007221626409e-16
deferral adaptive,align_rmse_mean,0.2197524749566263,0.21975247495662673,4.163336342344337e-16
deferral adaptive,n_delivered_mean,23.0,23.0,0.0
deferral adaptive,gamma_mean,1.857074637096276,1.8570746370962756,4.440892098500626e-16
